Timestamp,Pos_Xaxis,Pos_Yaxis,Pos_Zaxis,Or_Xaxis,Or_Yaxis,Or_Zaxis
11:30:11.109319,-1.0155788823779892,-0.030068228840165107,0.0641000976462003,0.0003519664359013114,0.013293961520133589,0.0007643134937961279
11:30:11.129655,-1.0157198333354494,-0.029927108352568815,0.06454703582317745,0.0001651747045613977,0.016379195069155094,0.001468870401191629
11:30:11.149991,-1.0164123503181508,-0.02963188119729519,0.06554839603891777,0.0007373811475425888,0.02382940434141169,0.002306466955964096
11:30:11.170354,-1.0176521973391481,-0.029273231396196028,0.06693176349712908,0.0013251901980721587,0.03511515867474219,0.0038328187813087633
11:30:11.190755,-1.019227840347012,-0.02900284733198277,0.0682361208712171,0.0010408630781401902,0.04800529181121929,0.006202788673635742
11:30:11.211154,-1.0209041550931115,-0.02887970227234803,0.06977069398464648,0.0006105017003568548,0.06106631950040687,0.0076046939288261384
11:30:11.231694,-1.0227665442311482,-0.02868944585667115,0.07200092676093148,0.0012649665800425155,0.07558647938248182,0.008351842055480375
11:30:11.252556,-1.0244061653344982,-0.02847334837226248,0.07461021338863882,0.002169004967248431,0.088067106755186,0.009191147345304065
11:30:11.273321,-1.025596698091102,-0.02838665593434582,0.07776332566416365,0.0027436442625310073,0.09658414748071448,0.00924492610486157
11:30:11.294145,-1.0261868873895619,-0.028331141445092745,0.08142641927974306,0.0032430102442407515,0.10125932484887619,0.00920689515215356
11:30:11.315037,-1.0262144776988382,-0.02827308631380046,0.08534204338703302,0.0037610247835118487,0.10326407755021642,0.009187990276512098
11:30:11.335814,-1.0259590288034472,-0.028211544578189588,0.08928408480354595,0.0042723617126625415,0.1041862591603066,0.009285209612661077
11:30:11.356645,-1.0256122660949836,-0.028162617950970952,0.09318529043288089,0.004722436845039455,0.10499604296759073,0.009345660649203159
11:30:11.377478,-1.0252409424025326,-0.02811968584387734,0.09709791730148196,0.005204401851190575,0.10569067101951198,0.009424164637890232
11:30:11.398314,-1.0248246333356414,-0.028088884448421822,0.10101275967681585,0.0055603559796475275,0.10621328425947169,0.009451860537699038
11:30:11.419146,-1.0243987347609278,-0.02806477566809805,0.10494899916814522,0.0058353157586626195,0.1068612400153538,0.009462160473945736
11:30:11.439985,-1.0239031978280602,-0.028036331852745993,0.10888159978137257,0.006063620599107891,0.10696802643348938,0.009448722284162036
11:30:11.460815,-1.0233846354892797,-0.02802229177438769,0.1128237289754109,0.006287735423005824,0.10754869138426516,0.00936098913306793
11:30:11.481649,-1.0228720887224945,-0.028001722640119183,0.1167568693835225,0.00656827740229786,0.10821990788357615,0.00934809226449712
11:30:11.502475,-1.0222622072889196,-0.027977723578454617,0.12067688398152181,0.006745816882951508,0.10833435785077976,0.00929127756393205
11:30:11.523334,-1.0216244327901907,-0.02795628680920683,0.12461208880936722,0.007059852186806456,0.10869750341668985,0.009197300920659766
11:30:11.544148,-1.0209799285568026,-0.02794237236959804,0.12852540652578845,0.007233776152363035,0.10935855531481771,0.009117815002084273
11:30:11.564981,-1.0202473763406588,-0.027927948135946377,0.13243680668069777,0.007392002018362589,0.10958845496352439,0.009050785983269298
11:30:11.585811,-1.019502584652402,-0.027908988934919998,0.13633355993271032,0.00765811541941872,0.11006152217991534,0.008965618874541326
11:30:11.606642,-1.0187017850629605,-0.02788317966066282,0.14024296735157224,0.007866804758524165,0.11037133125603121,0.008941078641244996
11:30:11.627479,-1.0178771673986409,-0.02787516016971993,0.1441292328202554,0.007991265473019657,0.11095347834619494,0.008831768207163979
11:30:11.648365,-1.0170319913768853,-0.027861916390646793,0.14795443598135602,0.008096973818662302,0.1113136276189248,0.00871519845413257
11:30:11.669197,-1.0161836960799997,-0.027843949581687875,0.1517780488676961,0.008297091510038369,0.11201221849435622,0.00865601573663903
11:30:11.690077,-1.0152766889436995,-0.027829273600589784,0.1555893720028582,0.008385613532343083,0.11212040069611215,0.008588710523399263
11:30:11.710901,-1.0143342083815066,-0.02781552645735153,0.15936285646684523,0.008462898306740796,0.11249492076056966,0.00848426798403104
11:30:11.731776,-1.013354021810448,-0.027806501956232053,0.16319405494217057,0.008606639557904128,0.11282119602050976,0.00840518854889139
11:30:11.752613,-1.0123470573498725,-0.027798437352350186,0.16700594040671368,0.008759138275776786,0.11353362846111126,0.008325621504922618
11:30:11.773442,-1.0113043118391056,-0.027786398669592784,0.17079036659608363,0.008859687485524148,0.11425299211110132,0.008242481512798645
11:30:11.794274,-1.0101651486404222,-0.027767343216429506,0.1745913255478309,0.008937650204149097,0.1145642218197577,0.008177275408743492
11:30:11.815108,-1.0089927412020185,-0.02774058671012607,0.17830895221604648,0.009143185717255378,0.11496825444606008,0.008129649660343578
11:30:11.835929,-1.0076502517455905,-0.027694877583502878,0.18170111927494384,0.009541232715968715,0.1133314491929713,0.008251747048111617
11:30:11.856770,-1.0061744952354492,-0.02767250176693329,0.18403150193590545,0.010340117983682886,0.10993467943050009,0.006446779812074686
11:30:11.877641,-1.0044373975407956,-0.02770068707305371,0.1872155078475192,0.010403488966555942,0.10850457855115342,0.006753870316093647
11:30:11.898454,-1.0027786615312377,-0.02775171664976177,0.19063043071150315,0.010316642174991779,0.10703882309186573,0.006743124911076246
11:30:11.919270,-1.001163006338958,-0.02780487489495432,0.19403499460172802,0.010217497812136414,0.1060055691330881,0.006665238259971418
11:30:11.940111,-0.9995466470518397,-0.02782630545819208,0.1973993535641603,0.010262467688910532,0.10516496815018268,0.0066667758928282365
