Event,Timestamp,x_pos,y_pos,z_pos,resultant_pos
PICKING,1658852985.6987312,-1.015547857370846,-0.029929442630172644,0.06393422098354948,1.0179984316095199
PICKING,1658852985.7279663,-1.015956254425515,-0.029759487190545574,0.06456291809719607,1.018440527658533
PICKING,1658852985.7323337,-1.016021115534507,-0.029738271890697412,0.06474878856254002,1.0185164101021373
PICKING,1658852985.7367249,-1.016124319782678,-0.029731049435044156,0.06495673686060832,1.0186323901280074
PICKING,1658852985.7411115,-1.0162639819134007,-0.029730515245096657,0.06530078844797413,1.0187936873789252
PICKING,1658852985.7454991,-1.0164281546743268,-0.029747556106094742,0.0658283750836064,1.018991896766157
PICKING,1658852985.7498343,-1.016611498861329,-0.029781731535551925,0.06655811582861484,1.0192231717994784
PICKING,1658852985.7542005,-1.016812624834402,-0.029827050756168615,0.06749090620952534,1.0194864341424168
PICKING,1658852985.7585614,-1.0170316813615297,-0.02988044890544901,0.06861465586199154,1.0197814732181159
PICKING,1658852985.7629404,-1.017277587234406,-0.029931769764740317,0.06989523368102926,1.0201151621371136
PICKING,1658852985.7672937,-1.0175491265328405,-0.030000204900221025,0.07133440119787696,1.0204875472028365
PICKING,1658852985.7716277,-1.0178482141664247,-0.030064011257181115,0.07290867482334196,1.020898871935486
PICKING,1658852985.7759936,-1.0181634218066289,-0.030141557870513064,0.07462380605505829,1.0213393067174041
PICKING,1658852985.78033,-1.0184911239954257,-0.03021280136210368,0.07646368838055442,1.0218041293048146
PICKING,1658852985.7846963,-1.0188265591920744,-0.030299221898214577,0.07841468791862952,1.0222888358209605
PICKING,1658852985.7897308,-1.0195158583816335,-0.03047720183645143,0.08265510642984832,1.0233148645174408
PICKING,1658852985.7940903,-1.0198666353988686,-0.030563542485728803,0.08494281545277846,1.0238541722462875
PICKING,1658852985.7984548,-1.020199225619605,-0.030650732600450047,0.08731877335014654,1.0243878638207113
PICKING,1658852985.802828,-1.0205106634438919,-0.030738373645189623,0.08977016094567447,1.024912456560684
PICKING,1658852985.8071945,-1.0207846762326687,-0.030824680841213568,0.0922986940711615,1.0254123878263022
PICKING,1658852985.8115263,-1.0210252728196292,-0.03091090056052049,0.09489110005678277,1.0258910333850506
PICKING,1658852985.8158875,-1.0212135702185057,-0.030995163031836366,0.09756403250594729,1.0263316211481641
PICKING,1658852985.820248,-1.0213430729562778,-0.03107275941097543,0.1003308952140553,1.0267295055600762
PICKING,1658852985.8246117,-1.0214106060218406,-0.031143236367381397,0.1031852000153649,1.0270816485399537
PICKING,1658852985.8289752,-1.0214524479736615,-0.031207316773465093,0.1061035864308566,1.027422489117829
PICKING,1658852985.8333611,-1.0214390934959552,-0.03126714080154726,0.10908682007688333,1.0277234015678678
PICKING,1658852985.8377326,-1.0213624451562322,-0.03132706479879363,0.11211857620789029,1.027975293718341
PICKING,1658852985.842072,-1.0212270701012012,-0.031387117145718096,0.115204205161979,1.0281837815863495
PICKING,1658852985.8464077,-1.0210342738833285,-0.03144914644858976,0.1183362445018444,1.0283498937713764
PICKING,1658852985.8507736,-1.020778057370268,-0.03151295842341441,0.121515116175285,1.028468197085504
PICKING,1658852985.8551474,-1.0204789109323709,-0.031576607095305465,0.124733679727576,1.0285585936794026
PICKING,1658852985.8594766,-1.0200971327840782,-0.03164086737435514,0.12796245266776135,1.0285784822244959
PICKING,1658852985.863847,-1.0196315640827995,-0.031706060569273255,0.1312158680846682,1.0285287573947417
PICKING,1658852985.8687572,-1.0184821643306317,-0.03183112919454586,0.13782638790858528,1.0282583590952885
PICKING,1658852985.873099,-1.0178055654414757,-0.03188960014065316,0.14119064060203687,1.02804664905557
PICKING,1658852985.8774645,-1.017046354746792,-0.03194448395194894,0.14457657602584656,1.0277675438026106
PICKING,1658852985.881831,-1.0162138873928166,-0.031995784644677755,0.14799041133640703,1.0274315339780884
PICKING,1658852985.8862138,-1.0153084494444102,-0.03204298313877456,0.15142902760639615,1.0270388262784726
PICKING,1658852985.8905876,-1.0143281439389473,-0.032084952753688216,0.15489991372038373,1.026589017596827
PICKING,1658852985.8949468,-1.013271446525576,-0.03212010094228512,0.15840324587728832,1.0260810462790142
PICKING,1658852985.899322,-1.012140191861535,-0.032148307841527106,0.16194251464806647,1.025517752030221
PICKING,1658852985.9036827,-1.010935940198572,-0.0321666973524445,0.16551747267658623,1.0249010710136754
PICKING,1658852985.9080749,-1.0096615235198265,-0.032175936704127495,0.1691143425477654,1.0242320751834166
PICKING,1658852985.9124665,-1.0083340797758478,-0.03217888959331201,0.1727246864169971,1.0235267044248109
PICKING,1658852985.916867,-1.0069696451289571,-0.032180568671404904,0.1763433025108433,1.0228002813607278
PICKING,1658852985.9212568,-1.0055641143859393,-0.03218231287093773,0.1799690636404344,1.02204880180455
PICKING,1658852985.925629,-1.0041224343183939,-0.03218388352220447,0.18359873573873078,1.021276730972036
PICKING,1658852985.9299955,-1.002646691026654,-0.0321852528710961,0.18722994630296078,1.0204858305344984
PICKING,1658852985.9343622,-1.0011380706254291,-0.03218634787549779,0.19086085208807388,1.0196770382356146
PICKING,1658852985.9387376,-0.999598874700064,-0.03218678794063476,0.19449047540097042,1.0188525136845201
PICKING,1658852985.9431078,-0.9980306218323288,-0.03218639945228432,0.1981177536424939,1.0180136201117718
PICKING,1658852985.9479508,-0.9949232303526746,-0.03218218430059063,0.2051418280738026,1.0163616959071313
PICKING,1658852985.952315,-0.9934194396107959,-0.03218110421449275,0.20847334171366055,1.0155682845925982
PICKING,1658852985.9566865,-0.991878432936364,-0.03218143633726535,0.21178367621376307,1.0147466659613338
